Asset Tag,Model,Serial,Username,Active Directory Last Logon,Success
C10989,MacBook Pro A1708,FVFYF25UHV22,slr02009,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
W57026,Optiplex 9010,72VKZV1,akh02002,2/9/2020 3:48:05 PM,Success
C09977,XPS Desktop,4TVR7X2,jct07008,2/9/2020 8:24:34 AM,Success
D07911,Optiplex 7060,CXR7FX2,dfg02002,2/9/2020 5:06:42 PM,Success
D07870,Latitude 5590,3Y7R0X2,slr02009,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
C09978,Optiplex 9010,BZXMPV2,amm09010,2/9/2020 10:35:17 AM,Success
D04162,Latitude 7480,87FL5M2,jer00005,2/10/2020 10:44:35 PM,Success
D07906,Optiplex 790,5RC6FX2,mdm02007,2/10/2020 3:18:05 PM,Success
D07907,Optiplex 790,5RC7FX2,mip10006,2/10/2020 7:06:52 PM,Success
D07905,Optiplex 790,5RC5FX2,mip10006,2/10/2020 3:56:16 PM,Success
D07908,Optiplex 790,5RC8FX2,mip10006,2/10/2020 3:07:07 AM,Success
D01266,Optiplex 7040,6C3WFB2,wss07002,2/10/2020 7:06:13 PM,Success
C09979,Optiplex 790,JBGC4V1,ahl05001,2/10/2020 6:48:08 PM,Success
D04127,Latitude 5580,2MXT3M2,vic18010,1/28/2020 1:55:00 PM,Success
C09980,Optiplex 7010,JNTQFX1,sah02017,1/19/2020 12:50:31 PM,Success
D01190,Optiplex 7040,6BV3GB2,mmc03007,2/10/2020 4:34:26 PM,Success
D00744,Optiplex 9020,2264182,jpf07002,2/10/2020 7:08:37 PM,Success
C11042,MacBook Pro A1708,FVFYR1QAHV29,krv19005,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
C00435,MacBook Pro A1502,C17QCDDDFVH3,llo04001,7/3/2019 11:03:55 AM,Success
D07925,Optiplex 7060,2RPVDX2,rhb02005,2/10/2020 1:27:00 AM,Success
C07084,Latitude E5450,9DNMP32,mar05011,2/4/2020 1:10:48 AM,Success
D07904,Optiplex 790,1XX01X2,avk07002,2/10/2020 8:37:28 PM,Success
D01167,Optiplex 7020,CV2TFB2,clp02003,1/29/2020 2:41:04 PM,Success
C01343,Surface Book,SB206615155154,yop10001,2/10/2020 3:42:42 PM,Success
D03197,Optiplex 7040,7Q0DKH2,mrb02005,2/10/2020 7:59:46 AM,Success
D07868,Latitude 5590,8YN51X2,jwn10001,2/10/2020 8:07:36 AM,Success
D07820,Latitude 7490,GWR2ZW2,rep07007,2/6/2020 2:39:24 PM,Success
D06401,Optiplex 7060,1NJJLR2,sal01001,2/9/2020 1:25:17 PM,Success
D07924,Latitude 5400,J00VNV2,mao02006,2/10/2020 7:27:06 PM,Success
D02138,Optiplex 7040,6QCCJB2,rar02005,2/10/2020 9:33:48 PM,Success
D02849,Optiplex 7040,5QGXBH2,reb13004,2/7/2020 3:48:35 AM,Success
W60051,Latitude E7440,9ZTMXZ1,yak05001,2/9/2020 1:25:22 AM,Success
C09981,Latitude E6530,FJ4JZW1,akh02002,2/10/2020 1:51:49 AM,Success
D07932,Latitude 7490,57RC2X2,jdh02008,1/29/2020 3:07:34 PM,Success
D07933,Latitude 7490,1PQG2X2,jdh02008,2/10/2020 1:57:01 AM,Success
C09982,Optiplex 7020,BMGMM22,abu09001,1/29/2020 4:44:54 AM,Success
C09983,Optiplex 7020,C3MVB42,gmw02002,2/9/2020 11:57:42 PM,Success
C08919,Optiplex 7020,FC25942,gmw02002,2/8/2020 7:51:08 AM,Success
C08902,Optiplex 7020,BMDMM22,gmw02002,2/9/2020 9:48:00 PM,Success
D03590,Latitude 7480,BM2W5H2,jpc95002,11/18/2019 12:01:36 PM,Success
D07832,Optiplex 7060,62LG7X2,mew02007,2/9/2020 11:09:28 AM,Success
C09984,Latitude 3190,C0TFZW2,ang12015,1/24/2020 12:08:18 PM,Success
D07931,Latitude 5590,50SW1X2,wpd17002,1/24/2020 8:43:34 AM,Success
D07831,Optiplex 7060,86XF7X2,beb09004,2/9/2020 7:05:26 PM,Success
D07930,Optiplex 7060,FGWYNX2,wpd17002,2/5/2020 8:27:43 PM,Success
D00818,Latitude E5450,J8HDH72,mar05011,7/23/2019 1:42:23 PM,Success
W60934,Latitude E6230,4XWPSY1,dea03002,7/9/2019 3:17:10 PM,Success
C01259,Latitude E6440,BQS2K72,mao02006,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
D07363,Optiplex 7060,HD8N2W2,emr17011,2/9/2020 4:07:52 AM,Success
D08007,Latitude 7400,JTQJ2X2,sgj05001,1/31/2020 3:41:12 PM,Success
D08006,Latitude 7400,13KJ2X2,sgj05001,1/31/2020 5:01:18 PM,Success
C09985,iMac,D25SH008GQ17,els06003,7/5/2019 5:25:45 PM,Success
D00685,Latitude 5450,7TMP462,jdd12007,2/4/2020 10:22:34 PM,Success
14CRX12,Optiplex 7010,14CRX12,gmw02002,1/21/2020 5:43:01 AM,Success
C04960,Optiplex 7050,38HFGK2,cam13052,10/10/2019 11:26:48 PM,Success
W57734,Latitude E6430,JVBFWW1,avk07002,7/31/2019 11:38:09 AM,Success
W61241,Latitude E6440,4MKRXZ1,avk07002,8/2/2019 1:18:31 AM,Success
D07991,Latitude 7490,JSH73X2,,2/6/2020 10:24:49 PM,Success
C09987,Surface Pro 4,SP14651482953,jsh03001,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
C00913,Surface Pro,SP036521454953,cdr05001,2/3/2020 1:26:06 PM,Success
D07362,Optiplex 7060,HD7V2W2,krv17001,2/9/2020 3:45:45 PM,Success
C07085,Latitude 5450,63YNP32,mar05011,10/1/2019 11:44:30 AM,Success
C07086,Latitude E5450,71YNP32,mar05011,7/15/2019 3:45:20 PM,Success
C07087,Latitude E5450,JWXHP32,mar05011,11/9/2019 12:42:56 AM,Success
C07082,Latitude E5450,4XXNP32,mar05011,8/6/2019 12:40:25 PM,Success
W58886,Latitude E6430,D2MZJX1,mar05011,7/15/2019 11:03:54 AM,Success
C09988,MacBook Pro A1708,C02TW0XQHV2H,jil10003,4/3/2019 12:30:54 PM,Success
D06500,Optiplex 7060,39F3MR2,amv05004,2/10/2020 1:43:31 AM,Success
W62584,Optiplex 9020,DP3YZ12,raw11006,1/16/2020 2:00:19 PM,Success
C09989,ThinkCentre M625q,MJ02CY9U,biy18001,2/9/2020 11:51:05 AM,Success
C09990,ThinkCentre M625q,MJ02CYD9,biy18001,12/16/2019 7:09:56 PM,Success
C09991,Optiplex 790,76ZVGS1,biy18001,10/3/2019 11:22:38 AM,Success
W60340,Optiplex 7010,DBFK8Z1,biy18001,1/20/2020 10:15:47 PM,Success
C02705,iMac,D25SG014GQ18,,7/12/2019 11:43:00 AM,Success
D02651,Latitude E7470,FXT8PF2,btp08002,2/10/2020 6:05:15 PM,Success
C03780,Optiplex 7010,GX60BY1,rab98001,1/20/2020 11:52:27 AM,Success
D07994,Optiplex 7060,9JZ23X2,kaf02011,2/3/2020 6:31:13 PM,Success
C09992,Surface Pro 4,037036292253,leb02011,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
D08001,Optiplex 7060,J088FX2,ksh02004,2/9/2020 7:35:58 AM,Success
D07999,Optiplex 7060,J086FX2,ksh02004,2/1/2020 8:36:35 PM,Success
D07997,Optiplex 7060,J084PX2,ksh02004,2/4/2020 4:46:54 PM,Success
D08004,Optiplex 7060,J08CFX2,ksh02004,2/4/2020 7:40:01 AM,Success
D08002,Optiplex 7060,J089FX2,ksh02004,2/6/2020 1:29:11 AM,Success
D07993,Latitude 7490,30173X2,ksh02004,2/9/2020 12:31:31 PM,Success
D07995,Optiplex 7060,3KZ23X2,ksh02004,7/16/2019 12:31:36 PM,Success
D08003,Optiplex 7060,J08BFX2,ksh02004,8/1/2019 10:25:19 AM,Success
D08000,Optiplex 7060,J087FX2,jul15004,2/10/2020 3:15:23 AM,Success
D07996,Optiplex 7060,J084FX2,ksh02004,2/10/2020 1:18:26 PM,Success
D07998,Optiplex 7060,J085FX2,ksh02004,2/10/2020 3:47:15 AM,Success
C09993,Apple Macbook Air A1466 (#A1466),FVHYFDEAJ1WK,clg07007,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
C09994,Apple Macbook Air A1466 (#A1466),FVHYFCL4J1WK,clg07007,Object not found in AD. Please check the serial Field and make sure it's a valid AD object.,Error
W57726,OptiPlex 990,3S78XV1,zxz12001,1/29/2020 12:33:11 PM,Success
W58261,Optiplex 9010,8DR3CX1,zxz12001,2/6/2020 3:42:45 PM,Success
W57727,OptiPlex 990,3S7CXV1,zxz12001,12/30/2019 7:27:59 PM,Success
W57725,OptiPlex 990,3S7BXV1,zxz12001,2/8/2020 9:37:21 AM,Success
W57728,OptiPlex 990,3S79XV1,zxz12001,2/6/2020 9:53:47 AM,Success
D07584,Latitude 7490,CKMVPV2,knw19002,1/31/2020 8:09:00 AM,Success
D07874,Optiplex 5060 (#5060),3QYLFX2,cji09001,2/1/2020 10:16:52 AM,Success
D07877,Optiplex 5060 (#5060),3QZGFX2,cji09001,10/7/2019 2:25:46 PM,Success
D07876,Optiplex 5060 (#5060),3QZFFX2,cji09001,2/3/2020 2:21:44 PM,Success
D07875,Optiplex 5060 (#5060),3QZDFX2,cji09001,2/4/2020 3:05:15 PM,Success
D01281,Optiplex 7040,6C52GB2,slr02009,2/11/2020 1:30:22 AM,Success
D04480,Latitude 5580,JQQ9ZM2,kyk16104,12/5/2019 1:42:17 PM,Success
C00781,Surface Pro,SP025963351253,ksp11002,2/6/2020 8:05:23 PM,Success
W61914,Latitude E6540,HGS0ZZ1,med02005,2/5/2020 3:32:30 PM,Success
D07934,Latitude 7390,6DG6QV2,elv07002,1/26/2020 5:30:51 PM,Success
D02218,Optiplex 7040,9L93JB2,dlq02001,2/9/2020 8:37:35 PM,Success
W54156,Optiplex 790,5RX0KQ1,olv04001,2/11/2020 12:38:06 AM,Success
